Phase 3C : SAC Online Training
Start: 2026-01-09 22:06:17.492659
Buildings: ['Eplus-5zone-hot-continuous-v1', 'Eplus-5zone-cool-continuous-v1', 'Eplus-5zone-mixed-continuous-v1']
================================================================================

Episode 1 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 2 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 3 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 4 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 5 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 6 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 7 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 8 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 9 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 10 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 11 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 12 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 13 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 14 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 15 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 16 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 17 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 18 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 19 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 20 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 21 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 22 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 23 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 24 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 25 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 26 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 27 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 28 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 29 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 30 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 31 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 32 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 33 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 34 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 35 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 36 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 37 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
Episode 38 (5zone): Reward=-54.75, SOC=0.52, Cost=$0.21
Episode 39 (5zone): Reward=-110.75, SOC=0.52, Cost=$0.37
Episode 40 (5zone): Reward=-46.31, SOC=0.52, Cost=$0.18
