Phase 3C : TD3 Online Training
Start: 2026-01-09 22:36:14.559042
Buildings: ['Eplus-5zone-hot-continuous-v1', 'Eplus-5zone-cool-continuous-v1', 'Eplus-5zone-mixed-continuous-v1']
================================================================================

Episode 1 (5zone): Reward=-44.81, SOC=0.48, Cost=$0.18
Episode 2 (5zone): Reward=-51.94, SOC=0.48, Cost=$0.20
Episode 3 (5zone): Reward=-106.88, SOC=0.48, Cost=$0.36
Episode 4 (5zone): Reward=-44.58, SOC=0.48, Cost=$0.18
Episode 5 (5zone): Reward=-52.35, SOC=0.48, Cost=$0.20
Episode 6 (5zone): Reward=-106.90, SOC=0.48, Cost=$0.36
Episode 7 (5zone): Reward=-44.40, SOC=0.48, Cost=$0.18
Episode 8 (5zone): Reward=-51.99, SOC=0.48, Cost=$0.20
Episode 9 (5zone): Reward=-108.27, SOC=0.48, Cost=$0.36
Episode 10 (5zone): Reward=-44.28, SOC=0.48, Cost=$0.18
Episode 11 (5zone): Reward=-51.72, SOC=0.48, Cost=$0.20
Episode 12 (5zone): Reward=-107.34, SOC=0.48, Cost=$0.36
Episode 13 (5zone): Reward=-44.49, SOC=0.48, Cost=$0.18
Episode 14 (5zone): Reward=-52.51, SOC=0.48, Cost=$0.20
Episode 15 (5zone): Reward=-107.08, SOC=0.48, Cost=$0.36
Episode 16 (5zone): Reward=-44.40, SOC=0.48, Cost=$0.18
Episode 17 (5zone): Reward=-51.07, SOC=0.48, Cost=$0.19
Episode 18 (5zone): Reward=-106.53, SOC=0.48, Cost=$0.36
Episode 19 (5zone): Reward=-44.44, SOC=0.48, Cost=$0.18
Episode 20 (5zone): Reward=-51.68, SOC=0.48, Cost=$0.20
Episode 21 (5zone): Reward=-107.87, SOC=0.48, Cost=$0.36
Episode 22 (5zone): Reward=-44.34, SOC=0.48, Cost=$0.18
Episode 23 (5zone): Reward=-51.69, SOC=0.48, Cost=$0.20
Episode 24 (5zone): Reward=-106.96, SOC=0.48, Cost=$0.36
Episode 25 (5zone): Reward=-44.16, SOC=0.48, Cost=$0.18
Episode 26 (5zone): Reward=-52.25, SOC=0.48, Cost=$0.20
Episode 27 (5zone): Reward=-107.30, SOC=0.48, Cost=$0.36
Episode 28 (5zone): Reward=-44.97, SOC=0.48, Cost=$0.18
Episode 29 (5zone): Reward=-52.17, SOC=0.48, Cost=$0.20
Episode 30 (5zone): Reward=-107.22, SOC=0.48, Cost=$0.36
Episode 31 (5zone): Reward=-44.75, SOC=0.48, Cost=$0.18
Episode 32 (5zone): Reward=-52.31, SOC=0.48, Cost=$0.20
Episode 33 (5zone): Reward=-107.50, SOC=0.48, Cost=$0.36
Episode 34 (5zone): Reward=-44.68, SOC=0.48, Cost=$0.18
Episode 35 (5zone): Reward=-51.64, SOC=0.48, Cost=$0.20
Episode 36 (5zone): Reward=-108.01, SOC=0.48, Cost=$0.36
Episode 37 (5zone): Reward=-44.51, SOC=0.48, Cost=$0.18
Episode 38 (5zone): Reward=-51.46, SOC=0.48, Cost=$0.20
Episode 39 (5zone): Reward=-108.26, SOC=0.48, Cost=$0.36
Episode 40 (5zone): Reward=-44.48, SOC=0.48, Cost=$0.18
